id,name,slug,created_at,updated_at
785,Bags,bags,NULL,NULL
786,Belts,belts,NULL,NULL
787,Eye wear,eye-wear,NULL,NULL
788,Scarves,scarves,NULL,NULL
789,Technology,technology,NULL,NULL
790,Luggage,luggage,NULL,NULL
791,Suit Accessories,suit-accessories,NULL,NULL
792,Head Accessories,head-accessories,NULL,NULL
793,Beauty Accessories,beauty-accessories,NULL,NULL
794,Jewellery,jewellery,NULL,NULL
795,Cosmetics Kit,cosmetics-kit,NULL,NULL
796,Eyes,eyes,NULL,NULL
797,Face,face,NULL,NULL
798,Lips,lips,NULL,NULL
799,Nails,nails,NULL,NULL
800,Eau De Perfum,eau-de-perfum,NULL,NULL
801,Mist & Spray,mist-&-spray,NULL,NULL
802,Haircare,haircare,NULL,NULL
803,Skincare,skincare,NULL,NULL
804,Infants,infants,NULL,NULL
805,Pajama,pajama,NULL,NULL
806,Pre-Teens,pre-teens,NULL,NULL
807,Teens,teens,NULL,NULL
808,Toddlers,toddlers,NULL,NULL
809,Beach Wear,beach-wear,NULL,NULL
810,Body,body,NULL,NULL
811,Bottoms,bottoms,NULL,NULL
812,Outwear,outwear,NULL,NULL
813,Plus Size,plus-size,NULL,NULL
814,Shirt,shirt,NULL,NULL
815,Sportswear,sportswear,NULL,NULL
816,T-Shirts,t-shirts,NULL,NULL
817,Clothing Set,clothing-set,NULL,NULL
818,Dresses,dresses,NULL,NULL
819,Jumpsuits,jumpsuits,NULL,NULL
820,Maternity,maternity,NULL,NULL
821,Tops,tops,NULL,NULL
822,Casual Shoes,casual-shoes,NULL,NULL
823,Sandals,sandals,NULL,NULL
824,Shoe Care,shoe-care,NULL,NULL
825,Sports Shoes,sports-shoes,NULL,NULL
826,Boots,boots,NULL,NULL
827,Formal Shoes,formal-shoes,NULL,NULL
828,Slippers,slippers,NULL,NULL
829,Flats,flats,NULL,NULL
830,Heels,heels,NULL,NULL
831,Wedges,wedges,NULL,NULL
832,Free Item Gift,free-item-gift,NULL,NULL
833,Hand Accessories,hand-accessories,NULL,NULL
834,Hair Accessories,hair-accessories,NULL,NULL
835,School,school,NULL,NULL
836,Baby Products,baby-products,NULL,NULL
837,Bags,bags,NULL,NULL
838,Belts,belts,NULL,NULL
839,Eye wear,eye-wear,NULL,NULL
840,Scarves,scarves,NULL,NULL
841,Technology,technology,NULL,NULL
842,Luggage,luggage,NULL,NULL
843,Suit Accessories,suit-accessories,NULL,NULL
844,Head Accessories,head-accessories,NULL,NULL
845,Beauty Accessories,beauty-accessories,NULL,NULL
846,Jewellery,jewellery,NULL,NULL
847,Cosmetics Kit,cosmetics-kit,NULL,NULL
848,Eyes,eyes,NULL,NULL
849,Face,face,NULL,NULL
850,Lips,lips,NULL,NULL
851,Nails,nails,NULL,NULL
852,Eau De Perfum,eau-de-perfum,NULL,NULL
853,Mist & Spray,mist-&-spray,NULL,NULL
854,Haircare,haircare,NULL,NULL
855,Skincare,skincare,NULL,NULL
856,Infants,infants,NULL,NULL
857,Pajama,pajama,NULL,NULL
858,Pre-Teens,pre-teens,NULL,NULL
859,Teens,teens,NULL,NULL
860,Toddlers,toddlers,NULL,NULL
